"archetype","rank","gene","cor","n_cells_used"
"A1",1,"ENSG00000289474",0.589405310331521,13245
"A1",2,"ENSG00000289901",0.45213952292634,13245
"A1",3,"CTNND1",0.339993660220989,13245
"A1",4,"LINC00511",0.33137543773766,13245
"A1",5,"SRRM2",0.318613466822992,13245
"A1",6,"AGAP1",0.303541692610216,13245
"A1",7,"TCF7L2",0.294901403940158,13245
"A1",8,"RERE",0.285957074625141,13245
"A1",9,"LPP",0.274092508567014,13245
"A1",10,"ABCC3",0.269349926666638,13245
"A1",11,"ACTN4",0.267059930072055,13245
"A1",12,"EXT1",0.264631407760476,13245
"A1",13,"ENSG00000247925",0.26458791447574,13245
"A1",14,"MAML3",0.262549800502068,13245
"A1",15,"TALAM1",0.253173622464007,13245
"A1",16,"ATP5ME",0.248744465156555,13245
"A1",17,"MGAT5",0.246416757392728,13245
"A1",18,"SHROOM3",0.245534146714877,13245
"A1",19,"IGF2BP2",0.245346568488649,13245
"A1",20,"MAGI1",0.244419557157251,13245
"A1",21,"ENSG00000225885",0.242959500371501,13245
"A1",22,"SCNN1A",0.237558377997349,13245
"A1",23,"ENSG00000279442",0.234430230184338,13245
"A1",24,"GMDS",0.223863887286962,13245
"A1",25,"TSPOAP1-AS1",0.222809437395218,13245
"A1",26,"ENSG00000287555",0.211526391859206,13245
"A1",27,"PLCG2",0.210141887155783,13245
"A1",28,"SSH2",0.208446190731948,13245
"A1",29,"DNM2",0.207132635643392,13245
"A1",30,"UST",0.207003784187203,13245
"A1",31,"JMJD1C",0.206313306096847,13245
"A1",32,"PIP5K1B",0.204245518380603,13245
"A1",33,"AQP5",0.203438164849228,13245
"A1",34,"NMT1",0.203063502817164,13245
"A1",35,"ALDH1A3-AS1",0.202743190439429,13245
"A1",36,"FTX",0.200956768896038,13245
"A1",37,"TCF25",0.200453373510548,13245
"A1",38,"RBM39",0.198030136905152,13245
"A1",39,"ENSG00000257764",0.195830999979958,13245
"A1",40,"SBF2",0.194780472589183,13245
"A1",41,"KMT2C",0.19402790551476,13245
"A1",42,"AQP5-AS1",0.193822050610277,13245
"A1",43,"ESYT2",0.193601089791593,13245
"A1",44,"UBE2H",0.192992239815381,13245
"A1",45,"SMCR5",0.192982032373506,13245
"A1",46,"NR6A1",0.191712201602703,13245
"A1",47,"PARD3",0.19124960631418,13245
"A1",48,"SPAG9",0.190403810798668,13245
"A1",49,"USP34",0.188917766923758,13245
"A1",50,"PTK2",0.188901612767545,13245
"A1",51,"PKN2",0.188460788867881,13245
"A1",52,"ENSG00000266049",0.188343959458151,13245
"A1",53,"FNDC3B",0.188115026845706,13245
"A1",54,"ATP5F1E",0.187756507985825,13245
"A1",55,"ZSWIM6",0.187343615503265,13245
"A1",56,"SPATS2L",0.187192354430304,13245
"A1",57,"ELOB",0.185486158471456,13245
"A1",58,"KIAA1671",0.184360508300965,13245
"A1",59,"LINC-PINT",0.183173331645146,13245
"A1",60,"PATJ",0.182786603748331,13245
"A1",61,"GPRC5D",0.182587641172101,13245
"A1",62,"PRKCA",0.179694373229954,13245
"A1",63,"FOXP1",0.179609334016662,13245
"A1",64,"MAL2-AS1",0.177871544907597,13245
"A1",65,"HIF1A",0.177674057487005,13245
"A1",66,"LINC00513",0.17624334292936,13245
"A1",67,"SPATA13",0.175393092428432,13245
"A1",68,"AKAP13",0.174519096576024,13245
"A1",69,"ENSG00000254604",0.173965597681752,13245
"A1",70,"RHPN2",0.173642690069185,13245
"A1",71,"ZNF609",0.173114077317753,13245
"A1",72,"ETV6",0.172394467341723,13245
"A1",73,"ENSG00000232934",0.169910158045765,13245
"A1",74,"RRBP1",0.167707258849799,13245
"A1",75,"AP2B1",0.167473106693219,13245
"A1",76,"ENSG00000224814",0.166686356323692,13245
"A1",77,"TRIO",0.166281743467421,13245
"A1",78,"RAB11FIP1",0.16605434976866,13245
"A1",79,"WDR45B",0.165304600379093,13245
"A1",80,"DYNC2I1",0.165082007276645,13245
"A1",81,"HNRNPK-AS1",0.164510926178628,13245
"A1",82,"ENSG00000238273",0.162061776352724,13245
"A1",83,"RREB1",0.161728694644642,13245
"A1",84,"KIAA1217",0.159822269949098,13245
"A1",85,"CMIP",0.158953491627482,13245
"A1",86,"CLIP2",0.158788651261807,13245
"A1",87,"ALDH1A3",0.158072151946355,13245
"A1",88,"HIVEP3",0.158012131179248,13245
"A1",89,"RIN2",0.157825584666162,13245
"A1",90,"RBM47",0.157433401873338,13245
"A1",91,"ENSG00000287045",0.156411352434081,13245
"A1",92,"ATP1A1",0.156339359619883,13245
"A1",93,"DSTN",0.15453852514866,13245
"A1",94,"ENSG00000279110",0.1543284455929,13245
"A1",95,"KANSL1",0.153964941709479,13245
"A1",96,"RC3H1",0.153363304026697,13245
"A1",97,"SMAD3",0.152477896747659,13245
"A1",98,"SHROOM3-AS1",0.152249324529647,13245
"A1",99,"ENSG00000287299",0.151590538299843,13245
"A1",100,"LINC02649",0.15154287338517,13245
"A2",1,"TFF3",0.765910095559731,13245
"A2",2,"S100A6",0.731652128853771,13245
"A2",3,"MIF",0.686595646663329,13245
"A2",4,"MT1X",0.673112183189678,13245
"A2",5,"C19orf33",0.623784504710634,13245
"A2",6,"P4HA1",0.588923715586143,13245
"A2",7,"FABP1",0.568877487058444,13245
"A2",8,"FXYD3",0.546021092498103,13245
"A2",9,"SH3BGRL3",0.545277056368723,13245
"A2",10,"WDR45B",0.539080460581341,13245
"A2",11,"TMSB10",0.52445416827004,13245
"A2",12,"SEC61G",0.519579184839199,13245
"A2",13,"C4orf3",0.510839584192695,13245
"A2",14,"SERF2",0.509615141549451,13245
"A2",15,"ENSG00000289474",0.497681403133033,13245
"A2",16,"COX7C",0.49054057892411,13245
"A2",17,"CIB1",0.489012773691851,13245
"A2",18,"GPI",0.488276381970996,13245
"A2",19,"ENSG00000289901",0.477406233147848,13245
"A2",20,"FLNB",0.457432374773073,13245
"A2",21,"ITGB4",0.452952771527441,13245
"A2",22,"TSPO",0.452177804795368,13245
"A2",23,"TFF1",0.436916976642815,13245
"A2",24,"FAM13A",0.432465872068489,13245
"A2",25,"SMIM22",0.430652593688851,13245
"A2",26,"WASF2",0.428787487871803,13245
"A2",27,"ELOB",0.428080780576969,13245
"A2",28,"PHGR1",0.424802231413065,13245
"A2",29,"FAM162A",0.424293853246897,13245
"A2",30,"ESYT2",0.424195974089715,13245
"A2",31,"TXNDC17",0.422791922157247,13245
"A2",32,"SEMA4B",0.421377476605522,13245
"A2",33,"FHL2",0.420991468303605,13245
"A2",34,"TMEM256",0.420449767195574,13245
"A2",35,"PRSS3",0.417554986081763,13245
"A2",36,"GPRC5A",0.415936021451134,13245
"A2",37,"ATP5ME",0.410348563786301,13245
"A2",38,"COX7A2",0.406812423490829,13245
"A2",39,"UQCR10",0.406652496735091,13245
"A2",40,"S100A11",0.405984458667998,13245
"A2",41,"SLC2A1",0.404306319418091,13245
"A2",42,"JUND",0.398886586077899,13245
"A2",43,"GNG5",0.3973786189538,13245
"A2",44,"HILPDA",0.382020451083745,13245
"A2",45,"UQCRQ",0.378253370333066,13245
"A2",46,"CDC42EP5",0.374015617815406,13245
"A2",47,"KRT7",0.373994448333066,13245
"A2",48,"COX7B",0.371605327177445,13245
"A2",49,"FA2H",0.37086663161016,13245
"A2",50,"ACSS2",0.370865474455426,13245
"A2",51,"ALDOC",0.369686803189295,13245
"A2",52,"TMEM258",0.367917740002478,13245
"A2",53,"LIMA1",0.366633031322572,13245
"A2",54,"TFF2",0.365994653789907,13245
"A2",55,"PTPRR",0.365589905845696,13245
"A2",56,"CLMN",0.359809654409245,13245
"A2",57,"TCF7L2",0.351629219052956,13245
"A2",58,"STK17A",0.350842897260955,13245
"A2",59,"RNMT",0.350116776850859,13245
"A2",60,"EZR",0.34950690326403,13245
"A2",61,"ATP5MK",0.349197513280587,13245
"A2",62,"RALGPS2",0.347876324500284,13245
"A2",63,"PHPT1",0.347114095874174,13245
"A2",64,"ENSG00000247925",0.344286396979949,13245
"A2",65,"BHLHE41",0.343688839107436,13245
"A2",66,"DSTN",0.343202567689236,13245
"A2",67,"ENSG00000257764",0.342657573233826,13245
"A2",68,"PPDPF",0.340628304062452,13245
"A2",69,"DUOX2",0.338687896478645,13245
"A2",70,"S100A10",0.33840904764896,13245
"A2",71,"VEGFA",0.336584164046693,13245
"A2",72,"COX5B",0.324017900785133,13245
"A2",73,"COX6B1",0.323997607740921,13245
"A2",74,"SLC6A8",0.323306716748862,13245
"A2",75,"BAIAP2L1",0.323043383242063,13245
"A2",76,"NDUFA1",0.321836887688231,13245
"A2",77,"PGK1",0.321247680631771,13245
"A2",78,"ANKRD37",0.319954575161881,13245
"A2",79,"NDRG1",0.31654027635991,13245
"A2",80,"ATF3",0.315613331426564,13245
"A2",81,"RNF181",0.314254812727885,13245
"A2",82,"EIF1",0.314245637551062,13245
"A2",83,"DPM3",0.313080343343915,13245
"A2",84,"FAU",0.312275224960381,13245
"A2",85,"CD55",0.308785495226677,13245
"A2",86,"ITGB1",0.307453212359896,13245
"A2",87,"CSTB",0.305863166856996,13245
"A2",88,"MXD1",0.305047841270134,13245
"A2",89,"BNIP3",0.304344402042081,13245
"A2",90,"ROMO1",0.303897630366691,13245
"A2",91,"SQLE",0.303089190398686,13245
"A2",92,"CAST",0.300438622734167,13245
"A2",93,"TOMM7",0.29664872895565,13245
"A2",94,"ATP5F1E",0.296502363146243,13245
"A2",95,"GBE1",0.296294516281534,13245
"A2",96,"AGPAT2",0.296032656834062,13245
"A2",97,"UQCR11",0.292391053577768,13245
"A2",98,"TMEM265",0.291768529560078,13245
"A2",99,"RBM39",0.291754635338465,13245
"A2",100,"SNHG6",0.290740258554039,13245
"A3",1,"CES2",0.68501985856955,13245
"A3",2,"KRT20",0.669024896325917,13245
"A3",3,"EPCAM",0.668470411436243,13245
