"model","archetype","rank","gene","score","abs_score"
"A6","A1",1,"FTH1",-2.09291357210868,2.09291357210868
"A6","A1",2,"NEAT1",2.05395106318845,2.05395106318845
"A6","A1",3,"GAPDH",-2.0448621918053,2.0448621918053
"A6","A1",4,"LGALS4",-2.01704871436678,2.01704871436678
"A6","A1",5,"LYZ",-1.97618757226482,1.97618757226482
"A6","A1",6,"S100A10",-1.96322530289514,1.96322530289514
"A6","A1",7,"ACTG1",-1.91369529621443,1.91369529621443
"A6","A1",8,"PPIA",-1.89426211290932,1.89426211290932
"A6","A1",9,"TMSB4X",-1.85838241451199,1.85838241451199
"A6","A1",10,"TSPAN8",-1.83288414755582,1.83288414755582
"A6","A1",11,"ACTB",-1.82201172454632,1.82201172454632
"A6","A1",12,"AGR2",-1.82152875286414,1.82152875286414
"A6","A1",13,"FTL",-1.8127677689147,1.8127677689147
"A6","A1",14,"B2M",-1.81060019257342,1.81060019257342
"A6","A1",15,"RACK1",-1.7943699064662,1.7943699064662
"A6","A1",16,"KRT18",-1.73455132072123,1.73455132072123
"A6","A1",17,"ENSG00000289474",1.73231928442409,1.73231928442409
"A6","A1",18,"YBX1",-1.6424871958785,1.6424871958785
"A6","A1",19,"MYL12B",-1.61725154086271,1.61725154086271
"A6","A1",20,"S100A14",-1.61538235539443,1.61538235539443
"A6","A1",21,"KRT8",-1.61427366228119,1.61427366228119
"A6","A1",22,"SERPINB1",-1.60556352642894,1.60556352642894
"A6","A1",23,"NPM1",-1.60168963297465,1.60168963297465
"A6","A1",24,"LGALS3",-1.57836997191236,1.57836997191236
"A6","A1",25,"LDHA",-1.55449662616264,1.55449662616264
"A6","A1",26,"FABP1",-1.5500587453788,1.5500587453788
"A6","A1",27,"CFL1",-1.53406335967699,1.53406335967699
"A6","A1",28,"HSP90AB1",-1.50168694285625,1.50168694285625
"A6","A1",29,"FXYD3",-1.49281766525945,1.49281766525945
"A6","A1",30,"HNRNPA1",-1.44837134412092,1.44837134412092
"A6","A1",31,"LINC00511",1.40910485799435,1.40910485799435
"A6","A1",32,"SNHG29",-1.39057894322273,1.39057894322273
"A6","A1",33,"ATP5MC3",-1.36630678959293,1.36630678959293
"A6","A1",34,"KRT19",-1.36356746625542,1.36356746625542
"A6","A1",35,"MT1X",-1.32367454803019,1.32367454803019
"A6","A1",36,"ITM2B",-1.32316289678456,1.32316289678456
"A6","A1",37,"PHGR1",-1.30014703898624,1.30014703898624
"A6","A1",38,"H3-3B",-1.29493727249295,1.29493727249295
"A6","A1",39,"HSPD1",-1.27733780956111,1.27733780956111
"A6","A1",40,"SPINT2",-1.27110623807083,1.27110623807083
"A6","A1",41,"HLA-B",-1.26555520800456,1.26555520800456
"A6","A1",42,"SLC25A5",-1.23672021620859,1.23672021620859
"A6","A1",43,"HLA-A",-1.22615566023673,1.22615566023673
"A6","A1",44,"HSP90B1",-1.21761686388794,1.21761686388794
"A6","A1",45,"NAP1L1",-1.2123725874648,1.2123725874648
"A6","A1",46,"EPCAM",-1.20554183844901,1.20554183844901
"A6","A1",47,"ANXA2",-1.18151981743987,1.18151981743987
"A6","A1",48,"SAT1",-1.16112733522982,1.16112733522982
"A6","A1",49,"HMGB1",-1.1559144006709,1.1559144006709
"A6","A1",50,"HLA-C",-1.14574424640238,1.14574424640238
"A6","A1",51,"IGFBP2",-1.13154519471329,1.13154519471329
"A6","A1",52,"SLC25A3",-1.11948801398095,1.11948801398095
"A6","A1",53,"REG4",-1.11297835051028,1.11297835051028
"A6","A1",54,"PRDX1",-1.10210863717765,1.10210863717765
"A6","A1",55,"PRR13",-1.09742013025777,1.09742013025777
"A6","A1",56,"MLEC",-1.09284912839467,1.09284912839467
"A6","A1",57,"GPX4",-1.0913025007741,1.0913025007741
"A6","A1",58,"KLK7",-1.08792701846351,1.08792701846351
"A6","A1",59,"OLFM4",-1.07692881114284,1.07692881114284
"A6","A1",60,"PERP",-1.0762418695671,1.0762418695671
"A6","A1",61,"PRAP1",-1.07092935808023,1.07092935808023
